old,new,type
우울,우울/외로움,mood
외로움,우울/외로움,mood
애절한,슬픔,mood
이별,슬픔,mood
슬픔,슬픔,mood
몽환적인,몽환적인,mood
지침/힘듦,편안한,mood
잔잔한,편안한,mood
편안한,편안한,mood
부드러운,편안한,mood
따뜻한,편안한,mood
위로,편안한,mood
분노,힘찬,mood
힘찬,힘찬,mood
스트레스/짜증,힘찬,mood
화이트데이,사랑,mood
달콤한,사랑,mood
로맨틱한,사랑,mood
고백,사랑,mood
발렌타인데이,사랑,mood
사랑,사랑,mood
설렘,사랑,mood
댄서블한,밝은,mood
그루브한,밝은,mood
매혹적인,밝은,mood
기쁨,밝은,mood
시원한,밝은,mood
기분전환,밝은,mood
밝은,밝은,mood
신나는,밝은,mood
일/공부,집중,sit
집중,집중,sit
산책,산책,sit
휴가/여행,기분전환,sit
드라이브,기분전환,sit
하우스파티,기분전환,sit
출/퇴근길,기분전환,sit
해변,기분전환,sit
클럽,기분전환,sit
카페,여유,sit
집,여유,sit
아침,여유,sit
새벽,여유,sit
휴식,여유,sit
운동,운동,sit
밤,밤,sit
저녁,저녁,sit
오후,오후,sit
흐린날,우중충한날,weather
비오는날,우중충한날,weather
안개낀날,우중충한날,weather
눈오는날,겨울,weather
겨울,겨울,weather
추운날,겨울,weather
더운날,여름,weather
여름,여름,weather
맑은날,봄,weather
봄,봄,weather
가을,가을,weather
